                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.53282,                0.38852,                0.96606,                0.99421,                0.99905,                0.99488,                0.85015,                0.65799,                0.35181,                0.92088,              0.0004952,              0.0004952,              0.0004952
                     78,                0.51508,                0.35517,                0.96478,                0.99877,                      1,                  0.995,                0.84533,                0.65822,                 0.3649,                0.92923,              0.0004754,              0.0004754,              0.0004754
                     79,                0.51167,                0.37841,                 0.9567,                0.99273,                      1,                0.99488,                0.85637,                0.65011,                0.36951,                0.92574,              0.0004556,              0.0004556,              0.0004556
                     80,                0.51329,                0.35759,                0.97357,                0.99421,                0.99888,                0.99488,                0.85281,                0.64521,                0.35556,                0.92717,              0.0004358,              0.0004358,              0.0004358
                     81,                0.52182,                0.35364,                 0.9624,                0.99419,                0.99428,                  0.995,                0.85761,                0.65403,                0.34815,                0.92593,               0.000416,               0.000416,               0.000416
                     82,                0.55881,                0.46687,                0.97525,                0.99278,                      1,                0.99494,                0.85547,                0.63542,                0.34076,                0.90597,              0.0003962,              0.0003962,              0.0003962
                     83,                0.56536,                0.40061,                 0.9941,                  0.993,                      1,                0.99488,                 0.8617,                 0.6359,                0.34761,                 0.9113,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.4951,                0.35664,                0.95178,                 0.9989,                      1,                  0.995,                  0.862,                0.61802,                 0.3547,                0.91122,              0.0003566,              0.0003566,              0.0003566
                     85,                0.54423,                0.36995,                0.97923,                 0.9871,                      1,                0.99494,                0.86353,                0.60175,                0.33201,                0.91097,              0.0003368,              0.0003368,              0.0003368
                     86,                0.53746,                0.38753,                0.98224,                0.99304,                      1,                  0.995,                0.87256,                0.58657,                 0.3184,                0.90237,               0.000317,               0.000317,               0.000317
                     87,                0.46457,                0.33202,                0.94542,                0.98677,                      1,                0.99483,                0.87538,                0.59436,                0.32581,                0.90281,              0.0002972,              0.0002972,              0.0002972
                     88,                0.47851,                0.35224,                0.94823,                0.99466,                0.98837,                0.99494,                0.86908,                0.61593,                0.32837,                0.91202,              0.0002774,              0.0002774,              0.0002774
                     89,                0.49823,                  0.331,                0.94957,                0.98576,                      1,                0.99471,                0.87251,                0.59637,                0.33974,                 0.8972,              0.0002576,              0.0002576,              0.0002576
                     90,                0.44638,                 0.3229,                0.92591,                0.99341,                0.99419,                0.99488,                0.88847,                0.56586,                0.32561,                0.88062,              0.0002378,              0.0002378,              0.0002378
                     91,                0.44624,                0.33731,                 0.9309,                0.99089,                0.99419,                0.99483,                0.88967,                0.56096,                0.32992,                0.87503,               0.000218,               0.000218,               0.000218
                     92,                0.41708,                0.28949,                0.89808,                 0.9828,                0.99683,                0.99459,                0.88366,                0.56563,                 0.3357,                0.88039,              0.0001982,              0.0001982,              0.0001982
                     93,                0.41526,                 0.2787,                0.89009,                0.98572,                0.99419,                0.99459,                0.88198,                0.56384,                0.33616,                 0.8804,              0.0001784,              0.0001784,              0.0001784
                     94,                0.40298,                0.26916,                0.88398,                0.99498,                0.98837,                0.99488,                0.88392,                0.56259,                0.33021,                0.88295,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.4012,                0.27017,                0.88182,                      1,                0.99338,                  0.995,                0.88657,                0.55972,                0.32374,                0.88408,              0.0001388,              0.0001388,              0.0001388
                     96,                0.49689,                0.36011,                 0.9507,                      1,                0.99292,                  0.995,                0.88371,                0.55727,                0.32052,                0.88307,               0.000119,               0.000119,               0.000119
                     97,                0.41367,                0.27223,                0.86973,                0.98917,                0.99419,                0.99494,                0.88612,                0.55459,                0.31668,                0.88065,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.37604,                0.25758,                0.88286,                      1,                0.98765,                0.99494,                0.88864,                0.54744,                0.32023,                0.87815,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.50358,                0.40468,                0.94897,                 0.9993,                0.98837,                0.99488,                0.88464,                0.53883,                0.31551,                0.87611,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.37367,                  0.248,                0.86714,                0.99928,                0.98837,                0.99494,                0.88621,                 0.5369,                0.31532,                0.87606,               3.98e-05,               3.98e-05,               3.98e-05
